// Note : 키(ID)와 내용은 반드시 탭으로 구분되어야 합니다.
//
IN_000_000	Swords [Dex]
IN_072_078	Scroll of Whirlwind Sword
IN_072_079	Scroll of Thunderbolt slash
IN_072_080	Scroll of Dragon Sword
IN_072_081	Scroll of Wild Slash
IN_073_000	Archer Scrolls
IN_073_001	Scroll of Arrow Assault
IN_073_002	Scroll of Enhanced Force Shot
IN_073_003	Scroll of Distinguish
IN_073_004	Scroll of Soul Arrow
IN_073_005	Scroll of Kawasu
IN_073_006	Scroll of Armaggedon Arrow
IN_073_007	Scroll of Arrow Storm
IN_073_008	Scroll of Hunter's Snare
IN_073_009	Scroll of Gaia's Blessing
IN_073_010	Scroll Of Learning Ability Reinforcement
IN_073_011	Scroll Of Detector
IN_073_012	Scroll of Burst Fire
IN_073_013	Scroll of Bow Strike
IN_073_014	Scroll Of Powerful Hit
IN_073_015	Scroll of Force Shot
IN_073_016	Scroll of Tripple Shot
IN_073_017	Scroll of Star Fall
IN_073_018	Scroll of Slow
IN_073_019	Scroll of Amazon Fury
IN_073_020	Scroll Of Severe Hit
IN_073_021	Scroll of Evasive Chant
IN_073_022	Scroll of Sacrifice
IN_073_023	Scroll of Tiger's Rage
IN_073_024	Scroll of Eagle's Sight
IN_073_025	Scroll of Vampiric Arrow
IN_073_026	Scroll of Arrow Bombardment
IN_073_027	Scroll of Illusion's Force
IN_073_028	Scroll of Gaia's Force
IN_073_029	Scroll of Lightspeed
IN_073_030	Scroll of Bow Mastery
IN_073_031	Scroll of Focus
IN_073_032	Scroll of Spontaneity
IN_073_033	Scroll of Range Mastery
IN_073_034	Scroll of Cripple Shot
IN_073_035	Scroll of Death's Dance
IN_073_036	Scroll of Phoenix's Wrath
IN_073_037	Scroll of Heaven's Judgement
IN_073_038	Scroll of Light Pierce
IN_073_039	Scroll of Guardian Shot
IN_073_040	Scroll of Anger Shot
IN_073_041	Scroll of Dimension Illusion
IN_073_042	Scroll of Killing hit
IN_073_043	Scroll of Instant Evasion
IN_073_044	Scroll of Titan Will
IN_073_045	Scroll of Titan Force
IN_073_046	Scroll of Spirit Ball Strike
IN_073_047	Scroll of Soul Gasher
IN_073_048	Scroll of Illusion Charge
IN_073_049	Scroll of Illusion Chain
IN_073_050	Scroll of Tri-Force
IN_073_051	Scroll of Bow Slash
IN_073_052	Scroll of Blue Dragon Riser
IN_073_053	Scroll Of Squall
IN_073_054	Scroll of Indiscriminate Arrow
IN_073_055	Scroll of Blue Dragon Strike
IN_073_056	Scroll of Vital Arrow
IN_073_057	Scroll of Veina's Pace
IN_073_058	Scroll of Titan's Vigor
IN_073_059	Scroll Of Self Medication
IN_073_060	Scroll Of Destruction I
IN_073_061	Scroll Of Destruction II
IN_073_062	Scroll Of Destruction III
IN_073_063	Scroll Of Destruction IV
IN_073_064	Scroll Of Destruction V
IN_073_065	Scroll of Furious Arrow
IN_073_066	Scroll of Celestial Arrow
IN_073_067	Scroll of Tenacity Arrow
IN_073_068	Scroll of Titan's Mettle
IN_073_069	Scroll of Titan's Arcanum
IN_073_070	Scroll of Wild Shot
IN_073_071	Scroll of Pincushion
IN_073_072	Scroll of Dashing Arrow
IN_073_073	Scroll of Crescent Arrow
IN_073_074	Scroll of Giant Bow
IN_073_075	Scroll of Sphere of Arrow
IN_073_076	Scroll of Heartbreaker
IN_073_077	Scroll of Gust of Ghosts
IN_073_078	Scroll of Trial of Blast
IN_073_079	Scroll of Soaring Stake
IN_073_080	Scroll of Cobra Triplet
IN_073_081	Scroll of Rainbow Septet
IN_073_082	Scroll of Dozen Arrow
IN_073_083	Scroll of Lightning Arrow
IN_073_084	Scroll of Enhanced Cyclone Arrow
IN_073_085	Scroll of Blazing Gear
IN_073_086	Scroll of Destructive Arrow
IN_073_087	Scroll of Oktagon Arrow
IN_073_090	Scroll of Shockwave
IN_074_000	Talismans
IN_074_001	Tiger Talisman
IN_074_002	Spirit Talisman
IN_074_003	Divine Talisman
IN_074_004	Destiny Talisman
IN_074_005	Tiger Talisman
IN_074_006	Spirit Talisman
IN_074_007	Divine Talisman
IN_074_008	Destiny Talisman
IN_074_009	Soul Talisman
IN_074_010	Eternal Talisman
IN_074_011	Holy Talisman
IN_074_012	Royal Talisman
IN_075_000	Stick
IN_075_001	Bamboo Stick
IN_075_002	Discipline Stick
IN_075_003	Iron Rod
IN_075_004	Gold Stick
IN_075_005	Silver Stick
IN_075_006	Spirit Stick
IN_075_007	Dragon Stick
IN_075_008	BaGua Stick
IN_075_009	Stick
IN_075_018	Gold Spear
IN_075_019	Honor BaGua Stick
IN_075_020	Purple Wand
IN_075_021	Silver Spear
IN_075_022	Honor Wand
IN_075_023	Tiger Spear
IN_075_024	Sky Wand
IN_075_025	Abolish Spear
IN_075_026	God Wand
IN_075_027	Hot Iron Spear
IN_075_028	Dragon Wand
IN_075_029	Spirit Spear
IN_075_030	Dragon Wand
IN_075_031	Rain Spear
IN_075_032	Thunder Wand
IN_075_033	Fierce Spear
IN_075_034	Iron God Wand
IN_075_035	Purple Spear
IN_075_036	Deadly Spirit Wand
IN_075_037	Medium Spear
IN_075_038	Protection Wand
IN_075_039	Mystical Spear
IN_075_040	Tyrant Wand
IN_075_041	__미사용__
IN_075_042	Gold Lance
IN_075_043	Silver Lance
IN_075_044	Tiger Lance
IN_075_045	Abolish Lance
IN_075_046	Hot Iron Lance
IN_075_047	Spirit Lance
IN_075_048	Rain Lance
IN_075_049	Fierce Lance
IN_076_000	GM Items
IN_076_001	GM Super Mic
IN_076_002	Supervisor Ring (State)
IN_076_003	Supervisor Ring (recovery)
IN_076_004	Supervisor Ring (Damage)
IN_076_005	GM Set
IN_076_006	GM Mighty Top
IN_076_007	GM Mighty Bottom
IN_076_008	GM Mighty Shoes
IN_076_009	Gray GM Cap
IN_076_010	GM Set [Female] [Gray]
IN_076_011	Gray GM Jacket
IN_076_012	Gray GM Skirt
IN_076_013	Gray GM Boots
IN_076_014	Gray GM Cap
IN_076_015	GM Set [Male] [Red]
IN_076_016	Red GM Jacket
IN_076_017	Red GM Pants
IN_076_018	Red GM Boots
IN_076_019	Red GM Cap
IN_076_020	GM Set [Female] [Red]
IN_076_021	Red GM Jacket
IN_076_022	Red GM Skirt
IN_076_023	Red GM Boots
IN_076_024	Red GM Cap
IN_076_025	GM Set [Male] [Black]
IN_076_026	Black GM Jacket
IN_076_027	Black GM Pants
IN_076_028	Black GM Boots
IN_076_029	Black GM Cap
IN_076_030	GM Set [Female] [Black]
IN_076_031	Black GM Jacket
IN_076_032	Black GM Skirt
IN_076_033	Black GM Boots
IN_076_034	Black GM Cap
IN_076_035	GM_Healty
IN_076_036	GM_Very Healty
IN_076_037	+11 Grade Grindstone
IN_076_038	Supervisor Ring (Exp)
IN_076_039	GM_All
IN_076_040	GM_Box(All)
IN_076_041	Delay_Zero
IN_076_042	GM_Very Speed
IN_076_043	GM_Very Att.Speed
IN_076_044	GM_Speed
IN_076_045	GM_Att.Speed
IN_076_046	GM_Box(speed)
IN_076_047	GM Bike
IN_077_000	Rank Item
IN_077_001	 
IN_077_002	 
IN_077_003	 
IN_077_004	 
IN_077_005	 
IN_077_006	 
IN_077_007	 
IN_077_008	 
IN_077_009	 
IN_077_010	 
IN_077_011	 
IN_077_012	Master CD
IN_077_013	 
IN_077_014	 
IN_077_015	 
IN_077_016	 
IN_077_017	 
IN_077_018	 
IN_077_019	 
IN_077_020	 
IN_077_021	 
IN_077_022	 
IN_077_023	 
IN_077_024	 
IN_077_025	Honor Ganjiang Sword [R]
IN_077_026	Honor Kitchen Blade [R]
IN_077_027	Honor Lite Tian Wu Sword [R]
IN_077_028	Honor Xuan Wu Gauntlet [R]
IN_077_029	Honor Heavy Silver Gaunts [R]
IN_077_030	Honor Lite Xuan Wu Gaunts [R]
IN_077_031	Honor Upgraded Horn Bow [R]
IN_077_032	Honor Upgraded Genie Bow [R]
IN_077_033	Honor Lite Genie Bow [R]
IN_077_034	Honor Mystical Spear [R]
IN_077_035	Honor Deadly Spirit Wand [R]
IN_077_036	Staff of Winner
IN_077_037	Fist of Winner
IN_077_038	Bow of Winner
IN_077_039	Fist of Winner
IN_077_040	Bow of Winner
IN_077_041	King Chu's Sword [W]
IN_077_042	Treasure Blade [W]
IN_077_043	King Chu's Vital Sword [W]
IN_077_044	Gold Vambrace [W]
IN_077_045	Heavy Gold Vambrace [W]
IN_077_046	Vital Gold Vambrace [W]
IN_077_047	War Bow [W]
IN_077_048	Ritual Bow [W]
IN_077_049	Thunder Vital Bow [W]
IN_077_050	Purple Spear [W]
IN_077_051	Wand of Death [W]
IN_077_052	Vambrace of Assailant [V]
IN_077_053	Heavy Vambrace of Assailant [V]
IN_077_054	Vital Vambrace of Assailant [V]
IN_077_055	Vital Vambrace of Assailant [V]
IN_077_056	Azure Sword [V]
IN_077_057	Azure Sword [V]
IN_077_058	Vital Azure Sword [V]
IN_077_059	Vital Azure Sword [V]
IN_077_060	Seven Blade [V]
IN_077_061	General Meck's Bow [V]
IN_077_062	Cannon Bow [V]
IN_077_063	Cannon Bow [V]
IN_077_064	Vital Cannon Bow [V]
IN_077_065	Vital Cannon Bow [V]
IN_077_066	Hermit's Aero Spear [V]
IN_077_067	Hermit's Aero Spear [V]
IN_077_068	Staff of Soul Ravager [V]
IN_077_069	Blast Gun [V]
IN_077_070	Magnetic Railgun [V]
IN_077_071	Magnetic Portal Gun [V]
IN_077_074	Cross Gun [R]
IN_077_075	Atomic Railgun [R]
IN_077_076	Atomic Portal Gun [R]
IN_077_077	Cross Gun [R]
IN_077_078	Atomic Railgun [R]
IN_077_079	Atomic Portal Gun [R]
IN_077_080	Aegis Gun [W]
IN_077_081	Gravity Railgun [W]
IN_077_082	Gravity Portal Gun [W]
IN_077_083	Purple Lance [W]
IN_077_084	Grief Cube [V]
IN_077_085	Tiger Claw Whip [V]
IN_077_086	Tiger Claw Magic Wand [V]
IN_077_087	Royal Cross Cube [R]
IN_077_088	Phantom Whip [R]
IN_077_089	Phantom Magic Wand [R]
IN_077_090	Royal Cross Cube [R]
IN_077_091	Phantom Whip [R]
IN_077_092	Phantom Magic Wand [R]
IN_077_093	Mystical Cube [W]
IN_077_094	Dark Lord Whip [W]
IN_077_095	Dark Lord Magic Wand [W]
IN_077_290	Vambrace of Assailant [R]
IN_077_291	Heavy Vambrace of Assailant [R]
IN_077_292	Vital Vambrace of Assailant [R]
IN_077_293	Vital Vambrace of Assailant [R]
IN_077_294	Azure Sword [R]
IN_077_295	Azure Sword [R]
IN_077_296	Vital Azure Sword [R]
IN_077_297	Vital Azure Sword [R]
IN_077_298	Seven Blade [R]
IN_077_299	General Meck's Bow [R]
IN_077_300	Cannon Bow [R]
IN_077_301	Cannon Bow [R]
IN_077_302	Vital Cannon Bow [R]
IN_077_303	Vital Cannon Bow [R]
IN_077_304	Hermit's Aero Spear [R]
IN_077_305	Hermit's Aero Spear [R]
IN_077_306	Staff of Soul Ravager[R]
IN_077_307	Blast Gun [R]
IN_077_308	Magnetic Railgun [R]
IN_077_309	Magnetic Portal Gun [R]
IN_077_310	Type (R) Weapon Random Box
IN_077_311	Undried-Sap Weapon Box
IN_077_312	Dim Weapon Box
IN_077_313	Red Weapon Box
IN_077_314	Blue Weapon Box
IN_077_315	Saintroll Chaos Spear [V]
IN_077_316	Saintroll Chaos Scythe [V]
IN_077_317	Saintroll Chaos Shuriken [V]
IN_077_318	Saintroll Valor Havoc Spear [W]
IN_077_319	Saintroll Valor Havoc Scythe [W]
IN_077_320	Saintroll Valor Havoc Shuriken [W]
IN_077_321	Saintroll Rake Havoc Dual Blade [R]
IN_077_322	Saintroll Rake Scythe [R]
IN_077_323	Saintroll Rake Shuriken [R]
IN_077_324	Saintroll Chaos Spear [R]
IN_077_325	Saintroll Chaos Scythe [R]
IN_077_326	Saintroll Chaos Shuriken [R]
IN_077_327	Adamantite Mighty Fist(R)
IN_077_328	Adamantite Bizarre Fist(R)
IN_077_329	Adamantite Nimble Fist(R)
IN_077_330	Squadron's Mighty Fist [V]
IN_077_331	Squadron's Bizzare Fist [V]
IN_077_332	Squadron's Nimble Fist [V]
IN_077_333	Hermit's Aero Lance [V]
IN_077_334	Hermit's Aero Lance [R]
IN_077_335	Grief Cube [R]
IN_077_336	Tiger Claw Whip [R]
IN_077_337	Tiger Claw Magic Wand [R]
IN_078_000	Temp
IN_079_000	Gaunts [Int]
IN_079_001	Lite Gauntlets
IN_079_002	Lite Leather Gauntlets
IN_079_003	Lite Nature Gauntlets
IN_079_004	Lite Iron Gauntlets
IN_079_005	Lite White Gauntlets
IN_079_006	Lite Fine Gauntlets
IN_079_007	Lite Gory Gauntlets
IN_079_008	Lite Attack Gauntlets
IN_079_009	Lite Lead Gauntlets
IN_079_010	Lite Iron Gauntlets
IN_079_011	Lite Gold Gauntlets
IN_079_012	Lite Destruct Gauntlets
IN_079_013	Lite Crystal Gauntlets
IN_079_014	Lite Tough Gauntlets
IN_079_015	Lite Qiling Gauntlets
IN_079_016	Light Xuan Wu Glv
IN_079_017	Light White Tiger Glv
IN_080_000	Shaman Scrolls
IN_080_001	Scroll of Rapid Pierce
IN_080_002	Scroll of Spear Mastery
IN_080_003	Scroll of Enhanced Drilling Strike
IN_080_004	Scroll of Lunar Catastrophe
IN_080_005	Scroll of Radial Spear Strike
IN_080_006	Scroll of Weaken
IN_080_007	Scroll of Incineration
IN_080_008	Scroll of MP Regeneration
IN_080_009	Scroll of Petrify
IN_080_010	Scroll of Shin Ryu Attack
IN_080_011	Scroll of Gaia Dragon Strike
IN_080_012	Scroll of Cold Icicle Dragon
IN_080_013	Scroll of Dark Souls
IN_080_014	Scroll of Frost Incantation
IN_080_015	Scroll of Serpent's Venom
IN_080_016	Scroll of Fortify
IN_080_017	Scroll of Confusion Strike
IN_080_018	Scroll of Inspire
IN_080_019	Scroll of Heaven's Treatment
IN_080_020	Scroll of Life's Breath
IN_080_021	Scroll of Sacrificial Ritual
IN_080_022	Scroll of Haste
IN_080_023	Scroll of Revitalize
IN_080_024	Scroll of Vampiric Attack
IN_080_025	Scroll of Enhanced Vampiric Attack
IN_080_026	Scroll of Stealth
IN_080_027	Scroll of Massive Haste
IN_080_028	Scroll of Shin Ryu Attack
IN_080_029	Scroll of Amplified Effect
IN_080_030	Scroll of Arcane Recovery
IN_080_031	Scroll of Massive Haste
IN_080_032	Scroll of Spectral Pierce
IN_080_033	Scroll of Magma Explosion
IN_080_034	Scroll of Flight of the Crane
IN_080_035	Scroll of Tremor
IN_080_036	Scroll of Vigor Explosion
IN_080_037	Scroll of Enhanced Weaken
IN_080_038	Scroll of Resurrection
IN_080_039	Scroll of Beserk Aura
IN_080_040	Scroll of Life's Gift
IN_080_041	Scroll of Crescent Moon Raging Winds
IN_080_042	Scroll of
IN_080_043	Scroll of Spear Mastery
IN_080_044	Scroll of Demon Spear Dance
IN_080_045	Scroll of Infernal Punishment
IN_080_046	Scroll of Spear Guardian's Wrath
IN_080_047	Scroll of Drilling Strike
IN_080_048	Scroll of Gravity
IN_080_049	Scroll of Paralysed
IN_080_050	Scroll of Magnetic Shaft
IN_080_051	Scroll of Titan Will
IN_080_052	Scroll of Titan Force
IN_080_053	Scroll of Vibra Blast
IN_080_054	Scroll of Soul Burn
IN_080_055	Scroll of Shadow Spear
IN_080_056	Scroll of Will o' Wisp
IN_080_057	Scroll of Meteor Smash
IN_080_058	Scroll of Dance of Phoenix
IN_080_059	Scroll of Defying Gravity
IN_080_060	Scroll of Soul Toaster
IN_080_061	Scroll of Daran's Breath
IN_080_062	Scroll of Titan's Vigor
IN_080_063	Scroll of Thunder Deathblow I
IN_080_064	Scroll of Thunder Deathblow II
IN_080_065	Scroll of Thunder Deathblow III
IN_080_066	Scroll of Thunder Deathblow IV
IN_080_067	Scroll of Thunder Deathblow V
IN_080_068	Scroll of Thunder Deathblow VI
IN_080_069	Scroll of Vital Lance
IN_080_070	Scroll of Hail
IN_080_071	Scroll of Ebullient Recovery
IN_080_072	Scroll of Titan's Mettle
IN_080_073	Scroll of Titan's Arcanum
IN_080_074	Scroll of Spear of Thrust
IN_080_075	Scroll of Blizzard
IN_080_076	Scroll of Umpire of Heaven
IN_080_077	Scroll of Clone Spear
IN_080_078	Scroll of Thunderbolt
IN_080_079	Scroll of Angel of Death
IN_080_080	Scroll of Torrential Chop
IN_080_081	Scroll of Frosty Vortex
IN_080_082	Scroll of Rampancy
IN_080_083	Scroll of Lance Regiment
IN_080_084	Scroll of Deafening Flash
IN_080_085	Scroll of Tutelage
IN_080_086	Scroll of Lance of Sorrowful
IN_080_087	Scroll of Soul of Spear
IN_080_088	Scroll of Cold Thunderbolt
IN_080_089	Scroll of Fire Cyclone
IN_080_090	Scroll of Bagua Explosion
IN_080_091	Scroll of Nine Bagua
IN_081_000	Gaunts [Pow]
IN_081_001	Heavy Gauntlets
IN_081_002	Heavy Leather Gauntlets
IN_081_003	Heavy Lead Gaunlets
IN_081_004	Heavy Iron Gauntlets
IN_081_005	Heavy White Gauntlets
IN_081_006	Heavy Steel Gauntlets
IN_081_007	Heavy Gory Gauntlets
IN_081_008	Heavy Attack Gauntlets
IN_081_009	Heavy Lead Gauntlets
IN_081_010	Heavy Iron Gauntlets
IN_081_011	Heavy Gold Gauntlets
IN_081_012	Heavy Destruction Gauntlets
IN_081_013	Heavy Crystal Gauntlets
IN_081_014	Heavy Tough Gauntlets
IN_081_015	Heavy Qiling Gauntlets
IN_081_016	Heavy Silver Gauntlets
IN_081_017	Heavy Gold Gauntlets
IN_081_018	Heavy Solar Gauntlets
IN_081_019	Heavy Lunar Gauntlets
IN_081_020	Heavy Gauntlets
IN_081_021	Heavy Gaia Gauntlets
IN_082_000	Gaunts [Dex]
IN_082_001	Gauntlets
IN_082_002	Leather Gauntlets
IN_082_003	Sodium Gauntlets
IN_082_004	Iron Gauntlets
IN_082_005	White Gauntlets
IN_082_006	Steel Gauntlets
IN_082_007	Gory Gauntlets
IN_082_008	Attack Gauntlets
IN_082_009	Lead Gauntlets
IN_082_010	Iron Gauntlets
IN_082_011	Gold Gauntlets
IN_082_012	Destruction Gauntlets
IN_082_013	Crystal Gauntlets
IN_082_014	Tough Gauntlets
IN_082_015	Qiling Gauntlets
IN_082_016	Silver Gauntlets
IN_082_017	Gold Gauntlets
IN_082_018	Solar Gauntlets
IN_082_019	Lunar Gauntlets
IN_082_020	Damage Gauntlets
IN_082_021	World Gauntlets
IN_082_022	Temp
IN_082_023	Temp
IN_082_024	Gauntlets(N)
IN_083_000	Bus Ticket
IN_083_001	Bus Card
IN_083_002	Unused Car Ticket
IN_083_003	Campus Return Card
IN_083_005	Personal Store Searching Card
IN_084_000	Etc.
IN_084_001	Cigarette Butt
IN_084_002	Trash
IN_084_003	Empty Bottle
IN_084_004	Unknown Stone
IN_084_005	Store Business Permit
IN_084_006	Original Sentry Post
IN_084_007	Megaphone
IN_084_008	St.point Pass(not for sale)
IN_084_009	Bk.point Pass(not for sale)
IN_084_010	Emer.Locker Lnk Crd
IN_084_011	Trans.Crd
IN_084_012	St.point Pass(30D)
IN_084_013	Bk.point Pass(30D)
IN_084_014	Emer.Locker Lnk Crd(30D)
IN_084_015	Trans.Crd(30D)
IN_085_000	Phoenix Male Bottom
IN_085_001	Preparatory Bottom
IN_085_002	Preparatory Bottom [B]
IN_085_003	Freshman Bottom
IN_085_004	Freshman Bottom [B]
IN_085_005	Sophomore Bottom
IN_085_006	Sophomore Bottom [B]
IN_085_007	Junior Bottom
IN_085_008	Junior Bottom [B]
IN_085_009	Senior Bottom
IN_085_010	Senior Bottom [B]
IN_086_000	Phoenix Female Top
IN_086_001	Preparatory Top
IN_086_002	Preparatory Top [B]
IN_086_003	Freshman Top
IN_086_004	Freshman Top [B]
IN_086_005	Sophomore Top
IN_086_006	Sophomore Top [B]
IN_086_007	Junior Top
IN_086_008	Junior Top [B]
IN_086_009	Senior Top
IN_086_010	Senior Top [B]
IN_087_000	Phoenix Female Bottom
IN_087_001	Preparatory Bottom
IN_087_002	Preparatory Bottom [B]
IN_087_003	Freshman Bottom
IN_087_004	Freshman Bottom [B]
IN_087_005	Sophomore Bottom
IN_087_006	Sophomore Bottom [B]
IN_087_007	Junior Bottom
IN_087_008	Junior Bottom [B]
IN_087_009	Senior Bottom
IN_087_010	Senior Bottom [B]
IN_088_000	Mystic Peak Male Top
IN_088_001	Preparatory Top
IN_088_002	Preparatory Top [B]
IN_088_003	Freshman Top
IN_088_004	Freshman Top [B]
IN_088_005	Sophomore Top
IN_088_006	Sophomore Top [B]
IN_088_007	Junior Top
IN_088_008	Junior Top [B]
IN_088_009	Senior Top
IN_088_010	Senior Top [B]
IN_089_000	Mystic Peak Male Bottom
IN_089_001	Preparatory Bottom
IN_089_002	Preparatory Bottom [B]
IN_089_003	Freshman Bottom
IN_089_004	Freshman Bottom [B]
IN_089_005	Sophomore Bottom
IN_089_006	Sophomore Bottom [B]
IN_089_007	Junior Bottom
IN_089_008	Junior Bottom [B]
IN_089_009	Senior Bottom
IN_089_010	Senior Bottom [B]
IN_090_000	Mystic Peak Female Tops
IN_090_001	Preparatory Top
IN_090_002	Preparatory Top [B]
IN_090_003	Freshman Top
IN_090_004	Freshman Top [B]
IN_090_005	Sophomore Top
IN_090_006	Sophomore Top [B]
IN_090_007	Junior Top
IN_090_008	Junior Top [B]
IN_090_009	Senior Top
IN_090_010	Senior Top [B]
IN_091_000	Mystic Peak Female Bottom
IN_091_001	Preparatory Bottom
IN_091_002	Preparatory Bottom [B]
IN_091_003	Freshman Bottom
IN_091_004	Freshman Bottom [B]
IN_091_005	Sophomore Bottom
IN_091_006	Sophomore Bottom [B]
IN_091_007	Junior Bottom
IN_091_008	Junior Bottom [B]
IN_091_009	Senior Bottom
IN_091_010	Senior Bottom [B]
IN_092_000	Phoenix Male Tops
IN_092_001	Preparatory Top
IN_092_002	Preparatory Top [B]
IN_092_003	Freshman Top
IN_092_004	Freshman Top [B]
IN_092_005	Sophomore Top
IN_092_006	Sophomore Top [B]
IN_092_007	Junior Top
IN_092_008	Junior Top [B]
IN_092_009	Senior Top
IN_092_010	Senior Top [B]
IN_093_000	Rare Item [Coats]
IN_093_001	Judo Robe [C] (Eva+)
IN_093_002	Judo Robe [C] (Dex+)
IN_093_003	Kendo Coat [C] (Eva+)
IN_093_004	Kendo Coat [C] (Dex+)
IN_093_005	Tight Suit [C] (Eva+)
IN_093_006	Tight Suit [C] (Dex+)
IN_093_007	Cleric Cloth [C] (Eva+)
IN_093_008	Cleric Cloth [C] (Dex+)
IN_093_009	Judo Robe [B] (Eva+)
IN_093_010	Kendo Coat [B] (Eva+)
IN_093_011	Tight Suit [B] (Eva+)
IN_093_012	Cleric Cloth [B] (Eva+)
IN_093_013	Judo Robe [B] (Dex+)
IN_093_014	Kendo Coat [B] (Dex+)
IN_093_015	Tight Suit [B] (Dex+)
IN_093_016	Cleric Cloth [B] (Dex+)
IN_093_017	Fighter Robe [D] (Eva+)
IN_093_018	Shogun Coat [D] (Eva+)
IN_093_019	Hunter Suit [D] (Eva+)
IN_093_020	Mage Cloth [D] (Eva+)
IN_093_021	Fighter Robe [D] (Dex+)
IN_093_022	Shogun Coat [D] (Dex+)
IN_093_023	Hunter Suit [D] (Dex+)
IN_093_024	Mage Cloth [D] (Dex+)
IN_093_025	Fighter Robe [C] (Eva+)
IN_093_026	Shogun Coat [C] (Eva+)
IN_093_027	Hunter Suit [C] (Eva+)
IN_093_028	Mage Cloth [C] (Eva+)
IN_093_029	Fighter Robe [C] (Dex+)
IN_093_030	Shogun Coat [C] (Dex+)
IN_093_031	Hunter Suit [C] (Dex+)
IN_093_032	Mage Cloth [C] (Dex+)
IN_093_033	Fighter Robe [B] (Eva+)
IN_093_034	Shogun Coat [B] (Eva+)
IN_093_035	Hunter Suit [B] (Eva+)
IN_093_036	Mage Cloth [B] (Eva+)
IN_093_037	Fighter Robe [B] (Dex+)
IN_093_038	Shogun Coat [B] (Dex+)
IN_093_039	Hunter Suit [B] (Dex+)
IN_093_040	Mage Cloth [B] (Dex+)
IN_093_041	Brawler Robe [D] (Eva+)
IN_093_042	Vagrant Coat [D] (Eva+)
IN_093_043	Archer Suit [D] (Eva+)
IN_093_044	Shaman Cloth [D] (Eva+)
IN_093_045	Brawler Robe [D] (Dex+)
IN_093_046	Vagrant Coat [D] (Dex+)
IN_093_047	Archer Suit [D] (Dex+)
IN_093_048	Shaman Cloth [D] (Dex+)
IN_093_049	Brawler Robe [C] (Eva+)
IN_093_050	Vagrant Coat [C] (Eva+)
IN_093_051	Archer Suit [C] (Eva+)
IN_093_052	Shaman Cloth [C] (Eva+)
IN_093_053	Brawler Robe [C] (Dex+)
IN_093_054	Vagrant Coat [C] (Dex+)
IN_093_055	Archer Suit [C] (Dex+)
IN_093_056	Shaman Cloth [C] (Dex+)
IN_093_057	Brawler Robe [B] (Eva+)
IN_093_058	Vagrant Coat [B] (Eva+)
IN_093_059	Archer Suit [B] (Eva+)
IN_093_060	Shaman Cloth [B] (Eva+)
IN_093_061	Brawler Robe [B] (Dex+)
IN_093_062	Vagrant Coat [B] (Dex+)
IN_093_063	Archer Suit [B] (Dex+)
IN_093_064	Shaman Cloth [B] (Dex+)
IN_093_065	Mercenary Robe [D] (Eva+)
IN_093_066	Drifter Coat [D] (Eva+)
IN_093_067	C Lvl Arch Leather Coat (Eva+)
IN_093_068	Ritual Cloth [D] (Eva+)
IN_093_069	Mercenary Robe [D] (Dex+)
IN_093_070	Drifter Coat [D] (Dex+)
IN_093_071	C Lvl Arch Leather Coat (Dex+)
IN_093_072	Ritual Cloth [D] (Dex+)
IN_093_073	Mercenary Robe [C] (Eva+)
IN_093_074	Drifter Coat [C] (Eva+)
IN_093_075	B Lvl Arch Leather Coat (Eva+)
IN_093_076	Ritual Cloth [C] (Eva+)
IN_093_077	Mercenary Robe [C] (Dex+)
IN_093_078	Drifter Coat [C] (Dex+)
IN_093_079	B Lvl Arch Leather Coat (Dex+)
IN_093_080	Ritual Cloth [C] (Dex+)
IN_093_081	Mercenary Robe [B] (Eva+)
IN_093_082	Drifter Coat [B] (Eva+)
IN_093_083	A Lvl Arch Leather Coat (Eva+)
IN_093_084	Ritual Cloth [B] (Eva+)
IN_093_085	Mercenary Robe [B] (Dex+)
IN_093_086	Drifter Coat [B] (Dex+)
IN_093_087	A Lvl Arch Leather Coat (Dex+)
IN_093_088	Ritual Cloth [B] (Dex+)
IN_093_089	Mercenary Robe (Eva+)
IN_093_090	Drifter Coat (Eva+)
IN_093_091	C Lvl Steel Arch.Coat (Eva+)
IN_093_092	Ritual Cloth (Eva+)
IN_093_093	Mercenary Robe (Dex+)
IN_093_094	Drifter Coat (Dex+)
IN_093_095	C Lvl Steel Arch.Coat (Dex+)
IN_093_096	Ritual Cloth (Dex+)
IN_093_097	A Lvl Mil.Swrd Robe
IN_093_098	A Lvl Mil.Swrd Coat
IN_093_099	A Lvl Mil.Arch.Coat
IN_093_100	A Lvl Mil.Suit
IN_093_101	C Lvl Martial Robe (Eva+)
IN_093_102	C Lvl Steel Swrd Coat (Eva+)
IN_093_103	B Lvl Steel Arch.Coat (Eva+)
IN_093_104	B Lvl Steel Coat (Eva+)
IN_093_105	B Lvl Martial Robe (Dex+)
IN_093_106	B Lvl Steel Swrd Coat (Dex+)
IN_093_107	B Lvl Steel Arch.Coat (Dex+)
IN_093_108	B Lvl Steel Coat (Dex+)
IN_093_109	A Lvl Martial Robe (Eva+)
IN_093_110	A Lvl Steel Swrd Coat (Eva+)
IN_093_111	A Lvl Steel Arch.Coat (Eva+)
IN_093_112	A Lvl Steel Coat (Eva+)
IN_093_113	A Lvl Martial Robe (Dex+)
IN_093_114	A Lvl Steel Swrd Coat (Dex+)
IN_093_115	A Lvl Steel Arch.Coat (Dex+)
